instrument,base,rate,volume,value,date
BTC,USD,232323.232,0.0023,534.3434335999999,2021-06-14 11:28:17.525125
ETH,BTC,232.99,2,465.98,2021-06-14 11:28:17.530104
ETH,PLN,992.99,0.555,551.10945,2021-06-14 11:28:17.533103
AAPL,USD,993.232,4,3972.928,2021-06-14 11:30:28.315607
TSLA,USD,609,2,1218,2021-06-14 11:30:28.323626
AAPL,USD,993.232,4,3972.928,2021-06-14 11:32:06.592760
TSLA,USD,609,2,1218,2021-06-14 11:32:06.610296
AAPL,USD,993.232,4,3972.928,2021-06-14 11:33:51.800572
TSLA,USD,609,2,1218,2021-06-14 11:33:51.814555
AAPL,USD,993.232,4,3972.928,2021-06-14 11:33:55.754746
TSLA,USD,609,2,1218,2021-06-14 11:33:55.767739
AAPL,USD,993.232,4,3972.928,2021-06-14 11:34:07.202368
TSLA,USD,609,2,1218,2021-06-14 11:34:07.209367
AAPL,USD,993.232,4,3972.928,2021-06-14 11:37:44.805255
TSLA,USD,609,2,1218,2021-06-14 11:37:44.812246
AAPL,USD,993.232,4,3972.928,2021-06-14 11:38:08.005543
TSLA,USD,609,2,1218,2021-06-14 11:38:08.014541
AAPL,USD,993.232,4,3972.928,2021-06-14 11:46:28.516560
TSLA,USD,609,2,1218,2021-06-14 11:46:28.521558
AAPL,USD,993.232,4,3972.928,2021-06-14 11:46:35.128983
TSLA,USD,609,2,1218,2021-06-14 11:46:35.133971
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.902298
TSLA,USD,609,2,1218,2021-06-14 12:25:49.915279
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.921280
TSLA,USD,609,2,1218,2021-06-14 12:25:49.926275
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.932273
TSLA,USD,609,2,1218,2021-06-14 12:25:49.938272
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.944270
TSLA,USD,609,2,1218,2021-06-14 12:25:49.949268
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.955266
TSLA,USD,609,2,1218,2021-06-14 12:25:49.961262
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.966263
TSLA,USD,609,2,1218,2021-06-14 12:25:49.972236
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.975253
TSLA,USD,609,2,1218,2021-06-14 12:25:49.979251
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.982250
TSLA,USD,609,2,1218,2021-06-14 12:25:49.986233
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.989248
TSLA,USD,609,2,1218,2021-06-14 12:25:49.993247
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:49.996246
TSLA,USD,609,2,1218,2021-06-14 12:25:50.000479
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.003747
TSLA,USD,609,2,1218,2021-06-14 12:25:50.006746
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.010763
TSLA,USD,609,2,1218,2021-06-14 12:25:50.014980
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.018014
TSLA,USD,609,2,1218,2021-06-14 12:25:50.021804
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.025803
TSLA,USD,609,2,1218,2021-06-14 12:25:50.028818
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.032817
TSLA,USD,609,2,1218,2021-06-14 12:25:50.036798
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.039815
TSLA,USD,609,2,1218,2021-06-14 12:25:50.043814
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.046814
TSLA,USD,609,2,1218,2021-06-14 12:25:50.050812
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.053810
TSLA,USD,609,2,1218,2021-06-14 12:25:50.059231
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.062515
TSLA,USD,609,2,1218,2021-06-14 12:25:50.064736
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.066141
TSLA,USD,609,2,1218,2021-06-14 12:25:50.069156
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.072141
TSLA,USD,609,2,1218,2021-06-14 12:25:50.074154
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.076179
TSLA,USD,609,2,1218,2021-06-14 12:25:50.079153
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.081152
TSLA,USD,609,2,1218,2021-06-14 12:25:50.084139
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.086137
TSLA,USD,609,2,1218,2021-06-14 12:25:50.088150
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.091149
TSLA,USD,609,2,1218,2021-06-14 12:25:50.093148
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.095148
TSLA,USD,609,2,1218,2021-06-14 12:25:50.098147
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.100146
TSLA,USD,609,2,1218,2021-06-14 12:25:50.102145
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.106133
TSLA,USD,609,2,1218,2021-06-14 12:25:50.109148
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.112147
TSLA,USD,609,2,1218,2021-06-14 12:25:50.115146
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.117145
TSLA,USD,609,2,1218,2021-06-14 12:25:50.120145
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.123143
TSLA,USD,609,2,1218,2021-06-14 12:25:50.125143
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.128142
TSLA,USD,609,2,1218,2021-06-14 12:25:50.130142
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.133141
TSLA,USD,609,2,1218,2021-06-14 12:25:50.135139
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.138139
TSLA,USD,609,2,1218,2021-06-14 12:25:50.140121
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.143121
TSLA,USD,609,2,1218,2021-06-14 12:25:50.145120
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.147136
TSLA,USD,609,2,1218,2021-06-14 12:25:50.150135
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.153117
TSLA,USD,609,2,1218,2021-06-14 12:25:50.155117
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.157114
TSLA,USD,609,2,1218,2021-06-14 12:25:50.160144
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.162132
TSLA,USD,609,2,1218,2021-06-14 12:25:50.164130
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.167127
TSLA,USD,609,2,1218,2021-06-14 12:25:50.170129
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.173110
TSLA,USD,609,2,1218,2021-06-14 12:25:50.175128
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.177109
TSLA,USD,609,2,1218,2021-06-14 12:25:50.180107
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.182125
TSLA,USD,609,2,1218,2021-06-14 12:25:50.185124
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.187104
TSLA,USD,609,2,1218,2021-06-14 12:25:50.190123
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.192122
TSLA,USD,609,2,1218,2021-06-14 12:25:50.194121
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.196121
TSLA,USD,609,2,1218,2021-06-14 12:25:50.199119
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.201119
TSLA,USD,609,2,1218,2021-06-14 12:25:50.203118
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.206107
TSLA,USD,609,2,1218,2021-06-14 12:25:50.208116
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.210116
TSLA,USD,609,2,1218,2021-06-14 12:25:50.212115
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.215114
TSLA,USD,609,2,1218,2021-06-14 12:25:50.217105
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.220112
TSLA,USD,609,2,1218,2021-06-14 12:25:50.222112
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.224112
TSLA,USD,609,2,1218,2021-06-14 12:25:50.226118
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.229093
TSLA,USD,609,2,1218,2021-06-14 12:25:50.232109
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.234109
TSLA,USD,609,2,1218,2021-06-14 12:25:50.236107
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.238114
TSLA,USD,609,2,1218,2021-06-14 12:25:50.241106
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.243105
TSLA,USD,609,2,1218,2021-06-14 12:25:50.246112
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.248104
TSLA,USD,609,2,1218,2021-06-14 12:25:50.250103
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.252103
TSLA,USD,609,2,1218,2021-06-14 12:25:50.255085
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.257084
TSLA,USD,609,2,1218,2021-06-14 12:25:50.259083
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.262094
TSLA,USD,609,2,1218,2021-06-14 12:25:50.264098
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.266081
TSLA,USD,609,2,1218,2021-06-14 12:25:50.269080
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.271078
TSLA,USD,609,2,1218,2021-06-14 12:25:50.273096
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.276076
TSLA,USD,609,2,1218,2021-06-14 12:25:50.278094
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.280094
TSLA,USD,609,2,1218,2021-06-14 12:25:50.283092
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.285092
TSLA,USD,609,2,1218,2021-06-14 12:25:50.287091
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.289091
TSLA,USD,609,2,1218,2021-06-14 12:25:50.292090
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.295089
TSLA,USD,609,2,1218,2021-06-14 12:25:50.297088
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.299069
TSLA,USD,609,2,1218,2021-06-14 12:25:50.302099
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.304085
TSLA,USD,609,2,1218,2021-06-14 12:25:50.306085
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.309084
TSLA,USD,609,2,1218,2021-06-14 12:25:50.312084
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.314083
TSLA,USD,609,2,1218,2021-06-14 12:25:50.316082
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.319062
TSLA,USD,609,2,1218,2021-06-14 12:25:50.322075
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.324075
TSLA,USD,609,2,1218,2021-06-14 12:25:50.327060
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.329078
TSLA,USD,609,2,1218,2021-06-14 12:25:50.332064
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.334076
TSLA,USD,609,2,1218,2021-06-14 12:25:50.336076
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.338057
TSLA,USD,609,2,1218,2021-06-14 12:25:50.342068
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.344068
TSLA,USD,609,2,1218,2021-06-14 12:25:50.346073
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.349071
TSLA,USD,609,2,1218,2021-06-14 12:25:50.351071
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.353070
TSLA,USD,609,2,1218,2021-06-14 12:25:50.356069
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.358069
TSLA,USD,609,2,1218,2021-06-14 12:25:50.360068
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.363067
TSLA,USD,609,2,1218,2021-06-14 12:25:50.365067
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.367066
TSLA,USD,609,2,1218,2021-06-14 12:25:50.370048
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.372047
TSLA,USD,609,2,1218,2021-06-14 12:25:50.375046
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.377062
TSLA,USD,609,2,1218,2021-06-14 12:25:50.379062
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.382051
TSLA,USD,609,2,1218,2021-06-14 12:25:50.384043
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.386041
TSLA,USD,609,2,1218,2021-06-14 12:25:50.389059
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.391058
TSLA,USD,609,2,1218,2021-06-14 12:25:50.393058
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.396056
TSLA,USD,609,2,1218,2021-06-14 12:25:50.398056
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.400055
TSLA,USD,609,2,1218,2021-06-14 12:25:50.403054
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.405053
TSLA,USD,609,2,1218,2021-06-14 12:25:50.408034
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.410052
TSLA,USD,609,2,1218,2021-06-14 12:25:50.412051
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.415032
TSLA,USD,609,2,1218,2021-06-14 12:25:50.417050
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.419049
TSLA,USD,609,2,1218,2021-06-14 12:25:50.423043
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.425042
TSLA,USD,609,2,1218,2021-06-14 12:25:50.427041
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.430041
TSLA,USD,609,2,1218,2021-06-14 12:25:50.432040
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.434026
TSLA,USD,609,2,1218,2021-06-14 12:25:50.437039
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.440038
TSLA,USD,609,2,1218,2021-06-14 12:25:50.442042
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.444041
TSLA,USD,609,2,1218,2021-06-14 12:25:50.447040
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.449039
TSLA,USD,609,2,1218,2021-06-14 12:25:50.451039
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.454038
TSLA,USD,609,2,1218,2021-06-14 12:25:50.456037
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.458037
TSLA,USD,609,2,1218,2021-06-14 12:25:50.461035
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.463035
TSLA,USD,609,2,1218,2021-06-14 12:25:50.465034
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.468034
TSLA,USD,609,2,1218,2021-06-14 12:25:50.470033
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.472014
